iso_code,country,year,renewables_energy_per_capita
IND,India,1965,106.67
IND,India,1966,109.095
IND,India,1967,119.553
IND,India,1968,135.092
IND,India,1969,146.793
IND,India,1970,152.282
IND,India,1971,163.302
IND,India,1972,154.897
IND,India,1973,161.158
IND,India,1974,151.495
IND,India,1975,176.841
IND,India,1976,180.783
IND,India,1977,192.776
IND,India,1978,233.77
IND,India,1979,220.307
IND,India,1980,220.335
IND,India,1981,229.414
IND,India,1982,189.145
IND,India,1983,178.074
IND,India,1984,194.46
IND,India,1985,183.494
IND,India,1986,182.081
IND,India,1987,165.927
IND,India,1988,181.151
IND,India,1989,205.799
IND,India,1990,211.416
IND,India,1991,231.027
IND,India,1992,214.659
IND,India,1993,212.898
IND,India,1994,237.308
IND,India,1995,221.843
IND,India,1996,199.909
IND,India,1997,200.339
IND,India,1998,234.352
IND,India,1999,228.492
IND,India,2000,211.294
IND,India,2001,195.901
IND,India,2002,182.817
IND,India,2003,183.219
IND,India,2004,262.01
IND,India,2005,252.272
IND,India,2006,292.96
IND,India,2007,318.684
IND,India,2008,305.984
IND,India,2009,289.571
IND,India,2010,301.345
IND,India,2011,360.518
IND,India,2012,336.762
IND,India,2013,376.177
IND,India,2014,397.351
IND,India,2015,383.997
IND,India,2016,396.761
IND,India,2017,439.8
IND,India,2018,483.233
IND,India,2019,538.772
